Brand,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Power Reserve,Price (USD)
Hublot,Ceramic,Rubber,Automatic,100 meters,44,14.5,24,Black,Sapphire,72 hours,"15,500"
Panerai,Stainless Steel,Leather,Manual,300 meters,44,13.05,24,Black,Sapphire,56 hours,"5,200"
Patek Philippe,White Gold,Leather,Automatic,30 meters,37,8.5,18,White,Sapphire,45 hours,"25,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,60 hours,"19,500"
Vacheron Constantin,Rose Gold,Leather,Automatic,30 meters,40,6.79,20,White,Sapphire,40 hours,"15,000"
Blancpain,Titanium,Fabric,Automatic,300 meters,45,15.4,23,Black,Sapphire,120 hours,"14,000"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,25,Blue,Sapphire,54 hours,"7,500"
Jaquet Droz,Stainless Steel,Leather,Automatic,30 meters,43,11.48,22,White,Sapphire,68 hours,"8,500"
Rolex,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,36,12,20,Blue,Sapphire,70 hours,"7,650"
Omega,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,48 hours,"5,200"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,55 hours,"67,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,60 hours,"25,000"
Cartier,Stainless Steel,Stainless Steel,Automatic,30 meters,36.6,12.05,18,Silver,Sapphire,42 hours,"4,700"
IWC,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22,Blue,Sapphire,60 hours,"9,100"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,39,8.5,20,Silver,Sapphire,70 hours,"8,200"
Blancpain,Stainless Steel,Canvas,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"12,500"
Breguet,18K Rose Gold,Leather,Automatic,30 meters,39,9.9,22,White,Sapphire,65 hours,"27,900"
Chopard,Stainless Steel,Rubber,Automatic,50 meters,42,12.67,20,Black,Sapphire,42 hours,"6,500"
Seiko,Stainless Steel,Silicone,Automatic,200 meters,44.3,13.1,22,Black,Hardlex,50 hours,"1,200"
Tudor,Stainless Steel,Leather,Automatic,200 meters,41,14.75,22,Black,Sapphire,70 hours,"3,800"
IWC,Stainless Steel,Leather,Automatic,60 meters,39,10.86,20,Black,Sapphire,42 hours,"4,500"
Panerai,Titanium,Rubber,Automatic,300 meters,44,15.65,24,Black,Sapphire,72 hours,"9,500"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,45 hours,"35,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Black,Sapphire,60 hours,"24,000"
Breguet,18k Rose Gold,Leather,Automatic,30 meters,38.5,8.25,20,White,Sapphire,38 hours,"21,500"
Blancpain,Stainless Steel,Fabric,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"13,500"
Longines,Stainless Steel,Leather,Automatic,30 meters,38.5,9.7,20,Blue,Sapphire,64 hours,"1,800"
Vacheron Constantin,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11,22,Blue,Sapphire,40 hours,"19,000"
Frederique Constant,Stainless Steel,Leather,Automatic,50 meters,40,10.6,20,Silver,Sapphire,38 hours,"1,200"
